site,building,storey,id,ifc_type,name,cx,cy,cz,size_x,size_y,size_z,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z
Springfield,Hillside House,Foundation,7945,IfcFooting,FND-045,31.3434,-21.5398,-1.55,0.9714,0.651,0.5,30.9428,-21.7866,-1.8,31.9143,-21.1357,-1.3
Springfield,Hillside House,Foundation,7951,IfcFooting,FND-021,23.6407,-21.5474,-0.675,1.4242,1.473,0.85,22.9287,-22.2839,-1.1,24.3528,-20.8109,-0.25
Springfield,Hillside House,Foundation,7956,IfcFooting,FND-022,30.9982,-29.4605,-2.175,0.7433,0.7407,0.85,30.6265,-29.8308,-2.6,31.3698,-29.0901,-1.75
Springfield,Hillside House,Foundation,7955,IfcFooting,FND-013,34.2649,-21.8146,-2.125,1.4242,1.473,0.95,33.5529,-22.5511,-2.6,34.977,-21.0781,-1.65
Springfield,Hillside House,Foundation,7960,IfcFooting,FND-040,27.6106,-25.817,-1.55,1.0837,1.1069,0.5,27.0687,-26.3704,-1.8,28.1524,-25.2636,-1.3
Springfield,Hillside House,Foundation,7971,IfcFooting,FND-023,25.2001,-23.2245,-0.85,2.5,2.6302,0.5,23.95,-24.5396,-1.1,26.4501,-21.9094,-0.6
Springfield,Hillside House,Foundation,7967,IfcFooting,FND-014,32.9848,-20.4378,-1.6,1.9417,2.0296,0.4,32.014,-21.4526,-1.8,33.9557,-19.423,-1.4
Springfield,Hillside House,Foundation,7975,IfcFooting,FND-059,28.6036,-19.5036,-0.5,2.14,2.2482,0.5,27.5336,-20.6277,-0.75,29.6735,-18.3794,-0.25
Springfield,Hillside House,Foundation,7979,IfcFooting,FND-015,30.8637,-18.1565,-1.023,1.4242,1.473,1.546,30.1516,-18.893,-1.796,31.5758,-17.42,-0.25
Springfield,Hillside House,Foundation,7983,IfcFooting,FND-066,32.1042,-24.1718,-1.825,1.6959,1.6959,0.85,31.2563,-25.0198,-2.25,32.9522,-23.3238,-1.4
